View name,View index,Feature name,Area,X,Y,Overlapping pixels (cyan),ViDi markings only pixels (pink),Region only pixels (mustard)
100109202035_Blue_Lane [4]_RackIndex[11]_Date_01_10_2020_ 1094,0,defect,1275,570.5365,114.3388,1156,102,17
100109202035_Blue_Lane [4]_RackIndex[11]_Date_01_10_2020_ 1190,0,defect,1273,570.4603,114.5554,1174,79,20
100109202036_Blue_Lane [1]_RackIndex[12]_Date_01_10_2020_ 0648,0,defect,295,497.6441,92.91525,0,0,295
100109202036_Blue_Lane [1]_RackIndex[12]_Date_01_10_2020_ 0648,0,defect,201,498.4826,143.4577,0,0,201
100109202036_Blue_Lane [1]_RackIndex[12]_Date_01_10_2020_ 0744,0,defect,257,498.1479,143.8171,0,0,257
100109202036_Blue_Lane [1]_RackIndex[12]_Date_01_10_2020_ 0744,0,defect,137,497.1533,103.3796,0,0,137
100109202036_Blue_Lane [1]_RackIndex[12]_Date_01_10_2020_ 0744,0,defect,69,498.9855,72.14493,0,0,69
100109202036_Blue_Lane [1]_RackIndex[12]_Date_01_10_2020_ 0840,0,defect,228,498.6009,142.4825,0,0,228
100109202036_Blue_Lane [1]_RackIndex[12]_Date_01_10_2020_ 0840,0,defect,120,497.725,103.4583,0,0,120
100109202036_Blue_Lane [1]_RackIndex[12]_Date_01_10_2020_ 0840,0,defect,84,498.5476,72.84524,0,0,84
100109202036_Blue_Lane [1]_RackIndex[12]_Date_01_10_2020_ 0936,0,defect,294,499.8435,90.22449,0,0,294
100109202036_Blue_Lane [1]_RackIndex[12]_Date_01_10_2020_ 0936,0,defect,285,500.007,145.1123,0,0,285
100109202036_Blue_Lane [2]_RackIndex[2]_Date_01_10_2020_ 1268,0,defect,301,503.0033,95.44186,0,0,301
100109202036_Blue_Lane [2]_RackIndex[2]_Date_01_10_2020_ 1268,0,defect,250,504.096,148.208,0,0,250
100109202036_Blue_Lane [4]_RackIndex[12]_Date_01_10_2020_ 1000,0,defect,284,504.3521,142.3732,0,0,284
100109202036_Blue_Lane [4]_RackIndex[12]_Date_01_10_2020_ 1000,0,defect,89,502.5168,95.55056,0,0,89
100109202036_Blue_Lane [4]_RackIndex[12]_Date_01_10_2020_ 1000,0,defect,86,504.4535,73.83721,0,0,86
100109202036_Blue_Lane [4]_RackIndex[12]_Date_01_10_2020_ 1096,0,defect,260,503.1,91.93462,0,0,260
100109202036_Blue_Lane [4]_RackIndex[12]_Date_01_10_2020_ 1096,0,defect,251,504.494,141.0956,0,0,251
100109202036_Blue_Lane [4]_RackIndex[12]_Date_01_10_2020_ 1192,0,defect,269,504.1487,144.8067,0,0,269
100109202036_Blue_Lane [4]_RackIndex[12]_Date_01_10_2020_ 1192,0,defect,102,504.3235,74.77451,0,0,102
100109202036_Blue_Lane [4]_RackIndex[12]_Date_01_10_2020_ 1192,0,defect,71,502.1972,95.46479,0,0,71
100109202037_Blue_Lane [1]_RackIndex[13]_Date_01_10_2020_ 0650,0,defect,842,519.6366,117.0511,688,126,28
100109202037_Blue_Lane [1]_RackIndex[13]_Date_01_10_2020_ 0746,0,defect,807,519.6555,116.0558,667,122,18
100109202037_Blue_Lane [1]_RackIndex[13]_Date_01_10_2020_ 0842,0,defect,848,519.9552,115.6592,715,125,8
100109202037_Blue_Lane [1]_RackIndex[13]_Date_01_10_2020_ 0938,0,defect,875,518.9852,115.872,747,109,19
100109202037_Blue_Lane [3]_RackIndex[3]_Date_01_10_2020_ 1302,0,defect,846,527.4894,118.7884,723,121,2
100109202037_Blue_Lane [4]_RackIndex[13]_Date_01_10_2020_ 1002,0,defect,937,522.5144,117.6531,798,96,43
100109202037_Blue_Lane [4]_RackIndex[13]_Date_01_10_2020_ 1098,0,defect,924,522.6082,117.0898,777,108,39
100109202037_Blue_Lane [4]_RackIndex[13]_Date_01_10_2020_ 1194,0,defect,931,522.4962,117.8604,762,103,66
100109202037_Blue_Lane [6]_RackIndex[7]_Date_01_23_2020_ 1630,0,defect,926,522.7808,117.4158,773,113,40
100109202038_Blue_Lane [1]_RackIndex[14]_Date_01_10_2020_ 0652,0,defect,761,482.7556,115.59,682,69,10
100109202038_Blue_Lane [1]_RackIndex[14]_Date_01_10_2020_ 0748,0,defect,763,482.7156,114.2936,646,97,20
100109202038_Blue_Lane [1]_RackIndex[14]_Date_01_10_2020_ 0844,0,defect,774,482.916,114.2145,649,99,26
100109202038_Blue_Lane [1]_RackIndex[14]_Date_01_10_2020_ 0940,0,defect,789,482.8758,115.7567,687,87,15
100109202038_Blue_Lane [3]_RackIndex[1]_Date_01_10_2020_ 1298,0,defect,829,490.0145,119.6526,714,97,18
100109202038_Blue_Lane [4]_RackIndex[14]_Date_01_10_2020_ 1004,0,defect,788,486.2716,113.8122,626,107,55
100109202038_Blue_Lane [4]_RackIndex[14]_Date_01_10_2020_ 1100,0,defect,808,486.2785,115.578,655,110,43
100109202038_Blue_Lane [4]_RackIndex[14]_Date_01_10_2020_ 1196,0,defect,794,486.1612,114.2557,646,108,40
100109202039_Blue_Lane [1]_RackIndex[15]_Date_01_10_2020_ 0654,0,defect,1273,424.7667,114.6402,1097,101,75
100109202039_Blue_Lane [1]_RackIndex[15]_Date_01_10_2020_ 0750,0,defect,1248,425.1034,114.351,1071,116,61
100109202039_Blue_Lane [1]_RackIndex[15]_Date_01_10_2020_ 0846,0,defect,1223,425.1897,114.4669,1071,102,50
100109202039_Blue_Lane [1]_RackIndex[15]_Date_01_10_2020_ 0942,0,defect,1238,425.1357,114.9378,1076,108,54
100109202039_Blue_Lane [2]_RackIndex[10]_Date_01_10_2020_ 1284,0,defect,1193,432.4778,115.4837,1049,99,45
100109202039_Blue_Lane [4]_RackIndex[15]_Date_01_10_2020_ 1006,0,defect,1197,428.9114,114.4728,1066,104,27
100109202039_Blue_Lane [4]_RackIndex[15]_Date_01_10_2020_ 1102,0,defect,1199,428.8507,114.6756,1034,129,36
100109202039_Blue_Lane [4]_RackIndex[15]_Date_01_10_2020_ 1198,0,defect,1179,428.8957,115.6327,1054,98,27
100109202040_Blue_Lane [1]_RackIndex[16]_Date_01_10_2020_ 0656,0,defect,1241,543.2305,114.0355,1110,99,32
100109202040_Blue_Lane [1]_RackIndex[16]_Date_01_10_2020_ 0752,0,defect,1276,543.4514,114.6591,1158,97,21
100109202040_Blue_Lane [1]_RackIndex[16]_Date_01_10_2020_ 0848,0,defect,1269,543.5051,113.2309,1150,97,22
100109202040_Blue_Lane [1]_RackIndex[16]_Date_01_10_2020_ 0944,0,defect,1307,543.554,113.5685,1180,102,25
100109202040_Blue_Lane [2]_RackIndex[1]_Date_01_10_2020_ 1266,0,defect,1360,549.8294,117.3419,1232,108,20
100109202040_Blue_Lane [4]_RackIndex[16]_Date_01_10_2020_ 1008,0,defect,1436,547.3642,115.3412,1302,95,39
100109202040_Blue_Lane [4]_RackIndex[16]_Date_01_10_2020_ 1104,0,defect,1419,547.265,114.9944,1265,105,49
100109202040_Blue_Lane [4]_RackIndex[16]_Date_01_10_2020_ 1200,0,defect,1425,547.1832,114.84,1255,112,58
100109202041_Blue_Lane [1]_RackIndex[6]_Date_01_10_2020_ 1244,0,defect,1121,568.6824,114.5932,1017,80,24
100109202041_Blue_Lane [2]_RackIndex[1]_Date_01_10_2020_ 0658,0,defect,1218,566.5985,117.9655,1102,72,44
100109202041_Blue_Lane [2]_RackIndex[1]_Date_01_10_2020_ 0754,0,defect,1190,566.8218,117.4277,1074,76,40
100109202041_Blue_Lane [2]_RackIndex[1]_Date_01_10_2020_ 0850,0,defect,1216,566.8766,118.6176,1112,38,66
100109202041_Blue_Lane [3]_RackIndex[1]_Date_01_10_2020_ 0946,0,defect,1190,568.5908,117.2353,1073,78,39
100109202041_Blue_Lane [3]_RackIndex[1]_Date_01_10_2020_ 1042,0,defect,1179,568.7515,117.1637,1073,83,23
100109202041_Blue_Lane [3]_RackIndex[1]_Date_01_10_2020_ 1138,0,defect,1191,568.7431,117.3249,1086,81,24
100109202042_Blue_Lane [2]_RackIndex[2]_Date_01_10_2020_ 0660,0,defect,1419,629.9993,115.4299,1246,109,64
100109202042_Blue_Lane [2]_RackIndex[2]_Date_01_10_2020_ 0756,0,defect,1432,629.8645,116.5272,1256,107,69
100109202042_Blue_Lane [2]_RackIndex[2]_Date_01_10_2020_ 0852,0,defect,1428,629.8564,115.7136,1273,93,62
100109202042_Blue_Lane [2]_RackIndex[6]_Date_01_10_2020_ 1276,0,defect,1483,630.5887,114.4727,1310,107,66
100109202042_Blue_Lane [3]_RackIndex[2]_Date_01_10_2020_ 0948,0,defect,1453,631.468,116.6153,1318,98,37
100109202042_Blue_Lane [3]_RackIndex[2]_Date_01_10_2020_ 1044,0,defect,1460,631.3425,117.5541,1331,100,29
100109202042_Blue_Lane [3]_RackIndex[2]_Date_01_10_2020_ 1140,0,defect,1495,631.4147,116.9411,1336,109,50
100109202043_Blue_Lane [2]_RackIndex[3]_Date_01_10_2020_ 0662,0,defect,1076,459.106,106.1524,936,98,42
100109202043_Blue_Lane [2]_RackIndex[3]_Date_01_10_2020_ 0758,0,defect,1095,459.2895,106.8183,975,91,29
100109202043_Blue_Lane [2]_RackIndex[3]_Date_01_10_2020_ 0854,0,defect,1091,459.3914,106.3978,968,96,27
100109202043_Blue_Lane [2]_RackIndex[11]_Date_01_10_2020_ 1286,0,defect,1228,456.7443,110.5831,1075,113,40
100109202043_Blue_Lane [3]_RackIndex[3]_Date_01_10_2020_ 0950,0,defect,1127,461.2919,108.6894,1003,102,22
100109202043_Blue_Lane [3]_RackIndex[3]_Date_01_10_2020_ 1046,0,defect,1129,461.225,108.4845,1003,103,23
